,elaped_time,pages_queued
795,17.48,796
796,17.48,797
797,17.49,798
798,17.50,799
799,17.50,800
800,17.81,801
801,17.82,802
802,17.83,803
803,17.83,804
804,17.84,805
805,17.84,806
806,17.85,807
807,17.85,808
808,17.86,809
809,17.86,810
810,17.87,811
811,17.87,812
812,17.88,813
813,17.88,814
814,17.89,815
815,17.89,816
816,17.90,817
817,17.90,818
818,17.91,819
819,17.91,820
820,18.20,821
821,18.21,822
822,18.21,823
823,18.22,824
824,18.23,825
825,18.23,826
826,18.24,827
827,18.25,828
828,18.25,829
829,18.26,830
830,18.26,831
831,18.27,832
832,18.28,833
833,18.28,834
834,18.29,835
835,18.29,836
836,18.30,837
837,18.30,838
838,18.31,839
839,18.32,840
840,18.64,841
841,18.64,842
842,18.65,843
843,18.66,844
844,18.66,845
845,18.67,846
846,18.67,847
847,18.67,848
848,18.68,849
849,18.68,850
850,18.69,851
851,18.69,852
852,18.70,853
853,18.70,854
854,18.71,855
855,18.71,856
856,18.72,857
857,18.72,858
858,18.73,859
859,18.73,860
860,19.06,861
861,19.07,862
862,19.08,863
863,19.09,864
864,19.09,865
865,19.10,866
866,19.11,867
867,19.12,868
868,19.12,869
869,19.13,870
870,19.14,871
871,19.15,872
872,19.15,873
873,19.16,874
874,19.17,875
875,19.17,876
876,19.18,877
877,19.18,878
878,19.19,879
879,19.20,880
880,19.58,881
881,19.59,882
882,19.60,883
883,19.60,884
884,19.61,885
885,19.62,886
886,19.62,887
887,19.63,888
888,19.63,889
889,19.64,890
890,19.64,891
891,19.65,892
892,19.66,893
893,19.66,894
894,19.67,895
895,19.67,896
896,19.68,897
897,19.68,898
898,19.69,899
899,19.69,900
900,20.03,901
901,20.03,902
902,20.04,903
903,20.04,904
904,20.05,905
905,20.06,906
906,20.06,907
907,20.07,908
908,20.07,909
909,20.08,910
910,20.08,911
911,20.09,912
912,20.09,913
913,20.10,914
914,20.10,915
915,20.11,916
916,20.11,917
917,20.12,918
918,20.12,919
919,20.13,920
920,20.43,921
921,20.43,922
922,20.43,923
923,20.44,924
924,20.45,925
925,20.45,926
926,20.46,927
927,20.46,928
928,20.47,929
929,20.48,930
930,20.48,931
931,20.49,932
932,20.50,933
933,20.50,934
934,20.51,935
935,20.52,936
936,20.52,937
937,20.53,938
938,20.54,939
939,20.55,940
940,20.87,941
941,20.88,942
942,20.89,943
943,20.90,944
944,20.91,945
945,20.91,946
946,20.92,947
947,20.93,948
948,20.93,949
949,20.94,950
950,20.95,951
951,20.95,952
952,20.96,953
953,20.96,954
954,20.97,955
955,20.97,956
956,20.98,957
957,20.98,958
958,20.99,959
959,20.99,960
960,21.30,961
961,21.30,962
962,21.31,963
963,21.31,964
964,21.32,965
965,21.32,966
966,21.33,967
967,21.33,968
968,21.34,969
969,21.34,970
970,21.35,971
